Time_Min,Voltage(V),Current(A),Resistance(Ohm),Power(kW),Temp(C),Temp_Rise(C),Calculated_Energy(kWh),Tuya_Raw_Energy(kWh)
0.00,230.7,0,0,0.000,25,0,0.0000,31.75
0.02,230.8,1,173,0.308,25,0,0.0001,31.75
0.04,230.7,3,87,0.615,25,0,0.0003,31.75
0.06,230.7,4,58,0.923,25,0,0.0006,31.75
0.08,230.8,5,43,1.231,25,0,0.0010,31.75
0.10,230.8,7,35,1.538,25,0,0.0015,31.75
0.12,230.8,8,29,1.846,25,0,0.0022,31.75
0.14,230.7,8,29,1.846,25,0,0.0028,31.75
0.16,230.7,8,29,1.846,25,0,0.0034,31.76
0.18,230.7,8,29,1.845,25,0,0.0040,31.76
0.20,230.7,8,29,1.845,25,0,0.0046,31.76
0.22,230.7,8,29,1.846,25,0,0.0052,31.76
0.24,230.7,8,29,1.846,25,0,0.0058,31.76
0.26,230.7,8,29,1.846,25,0,0.0065,31.76
0.28,230.7,8,29,1.846,25,0,0.0071,31.76
0.30,230.7,8,29,1.846,25,0,0.0077,31.76
0.32,230.8,8,29,1.847,25,0,0.0083,31.76
0.34,230.9,8,29,1.847,25,0,0.0089,31.76
0.36,230.9,8,29,1.847,25,0,0.0095,31.76
0.38,230.9,8,29,1.847,25,0,0.0102,31.76
0.40,230.8,8,29,1.846,25,0,0.0108,31.76
0.42,230.8,8,29,1.847,25,0,0.0114,31.76
0.44,230.8,8,29,1.846,25,0,0.0120,31.76
0.46,230.8,8,29,1.847,25,0,0.0126,31.76
0.48,231.0,8,29,1.848,25,0,0.0132,31.77
0.50,231.1,8,29,1.848,25,0,0.0138,31.77
0.52,231.0,8,29,1.848,25,0,0.0145,31.77
0.54,231.1,8,29,1.849,25,0,0.0151,31.77
0.56,231.1,8,29,1.849,25,0,0.0157,31.77
0.58,231.1,8,29,1.849,25,0,0.0163,31.77
0.60,231.1,8,29,1.849,25,0,0.0169,31.77
0.62,231.1,8,29,1.848,25,0,0.0175,31.77
0.64,231.1,8,29,1.848,25,0,0.0182,31.77
0.66,231.2,8,29,1.849,25,0,0.0188,31.77
0.68,231.3,8,29,1.850,25,0,0.0194,31.77
0.70,231.2,8,29,1.850,25,0,0.0200,31.77
0.72,231.2,8,29,1.850,25,0,0.0206,31.77
0.74,231.3,8,29,1.850,25,0,0.0212,31.77
0.76,231.3,8,29,1.850,25,0,0.0219,31.77
0.78,231.3,8,29,1.850,25,0,0.0225,31.77
0.80,231.3,8,29,1.850,25,0,0.0231,31.78
0.82,231.2,8,29,1.850,25,0,0.0237,31.78
0.84,231.2,8,29,1.850,25,0,0.0243,31.78
0.86,231.3,8,29,1.850,25,0,0.0249,31.78
0.88,231.3,8,29,1.850,25,0,0.0256,31.78
0.90,231.3,8,29,1.850,25,0,0.0262,31.78
0.92,231.2,8,29,1.850,25,0,0.0268,31.78
0.94,231.3,8,29,1.850,25,0,0.0274,31.78
0.96,231.4,8,29,1.851,25,0,0.0280,31.78
0.98,231.4,8,29,1.851,25,0,0.0286,31.78
1.00,231.3,8,29,1.850,25,0,0.0293,31.78
1.02,231.3,8,29,1.850,25,0,0.0299,31.78
1.04,231.2,8,29,1.850,25,0,0.0305,31.78
1.06,231.1,8,29,1.849,26,1,0.0311,31.78
1.08,231.1,8,29,1.849,25,0,0.0317,31.78
1.10,231.1,8,29,1.849,25,0,0.0323,31.78
1.12,231.1,8,29,1.849,25,0,0.0330,31.78
1.14,231.2,8,29,1.849,25,0,0.0336,31.79
1.16,231.1,8,29,1.849,25,0,0.0342,31.79
1.18,231.1,8,29,1.849,25,0,0.0348,31.79
1.20,231.1,8,29,1.849,25,0,0.0354,31.79
1.22,231.1,8,29,1.849,26,1,0.0360,31.79
1.24,231.1,8,29,1.849,26,1,0.0367,31.79
1.26,231.1,8,29,1.849,25,0,0.0373,31.79
1.28,231.1,8,29,1.849,25,0,0.0379,31.79
1.30,231.1,8,29,1.849,25,0,0.0385,31.79
1.32,231.0,8,29,1.848,25,0,0.0391,31.79
1.34,231.0,8,29,1.848,25,0,0.0397,31.79
1.36,230.9,8,29,1.848,25,0,0.0404,31.79
1.38,230.9,8,29,1.847,25,0,0.0410,31.79
1.40,231.0,8,29,1.848,25,0,0.0416,31.79
1.42,231.0,8,29,1.848,25,0,0.0422,31.79
1.44,231.0,8,29,1.848,25,0,0.0428,31.79
1.46,230.9,8,29,1.847,25,0,0.0434,31.80
1.48,231.0,8,29,1.848,25,0,0.0441,31.80
1.50,231.0,8,29,1.848,25,0,0.0447,31.80
1.52,231.0,8,29,1.848,25,0,0.0453,31.80
1.54,231.1,8,29,1.849,25,0,0.0459,31.80
1.56,231.2,8,29,1.849,25,0,0.0465,31.80
1.58,231.2,8,29,1.850,25,0,0.0471,31.80
1.60,231.1,8,29,1.849,25,0,0.0477,31.80
1.62,231.2,8,29,1.849,25,0,0.0484,31.80
1.64,231.2,8,29,1.850,25,0,0.0490,31.80
1.66,231.2,8,29,1.850,26,1,0.0496,31.80
1.68,231.2,8,29,1.850,25,0,0.0502,31.80
1.70,231.1,8,29,1.849,25,0,0.0508,31.80
1.72,231.0,8,29,1.848,25,0,0.0514,31.80
1.74,230.9,8,29,1.848,25,0,0.0521,31.80
1.76,230.8,8,29,1.847,25,0,0.0527,31.80
1.78,230.8,8,29,1.846,25,0,0.0533,31.80
1.80,230.8,8,29,1.847,25,0,0.0539,31.81
1.82,230.8,8,29,1.846,25,0,0.0545,31.81
1.84,230.8,8,29,1.846,25,0,0.0551,31.81
1.86,230.9,8,29,1.847,25,0,0.0558,31.81
1.88,230.9,8,29,1.847,25,0,0.0564,31.81
1.90,230.9,8,29,1.848,25,0,0.0570,31.81
1.92,231.0,8,29,1.848,25,0,0.0576,31.81
1.94,230.9,8,29,1.847,25,0,0.0582,31.81
1.96,231.0,8,29,1.848,25,0,0.0588,31.81
1.98,230.9,8,29,1.848,25,0,0.0595,31.81
2.00,230.9,8,29,1.847,26,1,0.0601,31.81
2.02,231.0,8,29,1.848,25,0,0.0607,31.81
2.04,230.9,8,29,1.847,26,1,0.0613,31.81
2.06,230.9,8,29,1.847,25,0,0.0619,31.81
2.08,230.9,8,29,1.847,25,0,0.0625,31.81
2.10,230.9,8,29,1.848,25,0,0.0631,31.81
2.12,231.0,8,29,1.848,25,0,0.0638,31.82
2.14,230.9,8,29,1.847,25,0,0.0644,31.82
2.16,231.0,8,29,1.848,26,1,0.0650,31.82
2.18,231.0,8,29,1.848,26,1,0.0656,31.82
2.20,231.0,8,29,1.848,25,0,0.0662,31.82
2.22,231.1,8,29,1.848,25,0,0.0668,31.82
2.24,231.1,8,29,1.848,25,0,0.0675,31.82
2.26,231.1,8,29,1.849,25,0,0.0681,31.82
2.28,231.2,8,29,1.849,25,0,0.0687,31.82
2.30,231.2,8,29,1.850,25,0,0.0693,31.82
2.32,231.3,8,29,1.850,25,0,0.0699,31.82
2.34,231.3,8,29,1.850,25,0,0.0705,31.82
2.36,231.3,8,29,1.850,25,0,0.0712,31.82
2.38,231.2,8,29,1.849,26,1,0.0718,31.82
2.40,231.1,8,29,1.849,25,0,0.0724,31.82
2.42,231.1,8,29,1.849,26,1,0.0730,31.82
2.44,231.1,8,29,1.849,25,0,0.0736,31.82
2.46,231.1,8,29,1.849,25,0,0.0742,31.83
2.48,231.1,8,29,1.849,25,0,0.0749,31.83
2.50,231.1,8,29,1.849,25,0,0.0755,31.83
2.52,231.0,8,29,1.848,25,0,0.0761,31.83
2.54,231.0,8,29,1.848,25,0,0.0767,31.83
2.56,231.0,8,29,1.848,25,0,0.0773,31.83
2.58,231.0,8,29,1.848,25,0,0.0779,31.83
2.60,230.9,8,29,1.847,25,0,0.0786,31.83
2.62,230.8,8,29,1.847,25,0,0.0792,31.83
2.64,230.8,8,29,1.846,25,0,0.0798,31.83
2.66,230.8,8,29,1.846,25,0,0.0804,31.83
2.68,230.8,8,29,1.846,25,0,0.0810,31.83
2.70,230.8,8,29,1.847,25,0,0.0816,31.83
2.72,230.8,8,29,1.846,25,0,0.0822,31.83
2.74,230.9,8,29,1.847,25,0,0.0829,31.83
2.76,230.9,8,29,1.847,26,1,0.0835,31.83
2.78,230.9,8,29,1.847,25,0,0.0841,31.84
2.80,230.9,8,29,1.847,26,1,0.0847,31.84
2.82,230.9,8,29,1.847,26,1,0.0853,31.84
2.84,230.9,8,29,1.847,25,0,0.0859,31.84
2.86,230.9,8,29,1.847,25,0,0.0866,31.84
2.88,230.8,8,29,1.847,25,0,0.0872,31.84
2.90,230.9,8,29,1.847,25,0,0.0878,31.84
2.92,230.9,8,29,1.847,26,1,0.0884,31.84
2.94,230.9,8,29,1.847,26,1,0.0890,31.84
2.96,230.8,8,29,1.846,25,0,0.0896,31.84
2.98,230.8,8,29,1.847,25,0,0.0902,31.84
3.00,230.8,8,29,1.846,26,1,0.0909,31.84
3.02,230.8,8,29,1.846,25,0,0.0915,31.84
3.04,230.8,8,29,1.846,26,1,0.0921,31.84
3.06,230.9,8,29,1.847,25,0,0.0927,31.84
3.08,230.9,8,29,1.848,26,1,0.0933,31.84
3.10,231.0,8,29,1.848,26,1,0.0939,31.84
3.12,231.0,8,29,1.848,26,1,0.0946,31.85
3.14,231.0,8,29,1.848,25,0,0.0952,31.85
3.16,231.1,8,29,1.848,26,1,0.0958,31.85
3.18,231.0,8,29,1.848,25,0,0.0964,31.85
3.20,231.0,8,29,1.848,25,0,0.0970,31.85
3.22,231.1,8,29,1.849,25,0,0.0976,31.85
3.24,231.1,8,29,1.849,26,1,0.0983,31.85
3.26,231.1,8,29,1.849,25,0,0.0989,31.85
3.28,231.1,8,29,1.849,25,0,0.0995,31.85
3.30,231.0,8,29,1.848,25,0,0.1001,31.85
3.32,231.0,8,29,1.848,26,1,0.1007,31.85
3.34,231.0,8,29,1.848,26,1,0.1013,31.85
3.36,231.0,8,29,1.848,25,0,0.1020,31.85
3.38,231.1,8,29,1.849,26,1,0.1026,31.85
3.40,231.0,8,29,1.848,25,0,0.1032,31.85
3.42,231.0,8,29,1.848,26,1,0.1038,31.85
3.44,231.0,8,29,1.848,26,1,0.1044,31.86
3.46,231.1,8,29,1.849,26,1,0.1050,31.86
3.48,231.1,8,29,1.849,25,0,0.1056,31.86
3.50,231.1,8,29,1.849,26,1,0.1063,31.86
3.52,231.1,8,29,1.849,25,0,0.1069,31.86
3.54,231.1,8,29,1.849,26,1,0.1075,31.86
3.56,231.1,8,29,1.848,25,0,0.1081,31.86
