Time_Min,Voltage(V),Current(A),Resistance(Ohm),Power(kW),Temp(C),Temp_Rise(C),Calculated_Energy(kWh),Tuya_Raw_Energy(kWh)
0.00,227.7,0,0,0.0,25.1,0.1,0.0000,43.55
0.02,226.9,2,113.5,0.454,24.9,-0.1,0.0001,43.55
0.04,227.3,3,75.8,0.682,25.1,0.1,0.0003,43.55
0.06,226.9,5,45.4,1.135,24.9,-0.1,0.0006,43.55
0.08,226.9,7,32.4,1.588,25.1,0.1,0.0010,43.55
0.10,227.2,8,28.4,1.818,25.0,0.0,0.0016,43.55
0.12,227.1,10,22.7,2.271,25.1,0.1,0.0023,43.55
0.14,227.0,10,22.7,2.27,24.9,-0.1,0.0030,43.55
0.16,227.3,10,22.7,2.273,25.0,-0.0,0.0038,43.55
0.18,227.1,10,22.7,2.271,25.2,0.2,0.0045,43.55
0.20,227.4,10,22.7,2.274,25.0,-0.0,0.0053,43.56
0.22,227.4,10,22.7,2.274,25.2,0.2,0.0061,43.56
0.24,226.9,10,22.7,2.269,24.9,-0.1,0.0068,43.56
0.26,227.6,10,22.8,2.276,25.0,-0.0,0.0076,43.56
0.28,227.1,10,22.7,2.271,25.2,0.2,0.0083,43.56
0.30,227.3,10,22.7,2.273,25.2,0.2,0.0091,43.56
0.32,227.3,10,22.7,2.273,25.2,0.2,0.0098,43.56
0.34,226.9,10,22.7,2.269,25.0,-0.0,0.0106,43.56
0.36,227.2,10,22.7,2.272,25.2,0.2,0.0114,43.56
0.38,227.2,10,22.7,2.272,25.1,0.1,0.0121,43.56
0.40,227.0,10,22.7,2.27,25.0,0.0,0.0129,43.56
0.42,227.1,10,22.7,2.271,25.1,0.1,0.0136,43.56
0.44,226.9,10,22.7,2.269,25.0,0.0,0.0144,43.56
0.46,227.1,10,22.7,2.271,25.2,0.2,0.0151,43.57
0.48,227.0,10,22.7,2.27,25.2,0.2,0.0159,43.57
0.50,226.8,10,22.7,2.268,25.2,0.2,0.0167,43.57
0.52,227.1,10,22.7,2.271,25.2,0.2,0.0174,43.57
0.54,227.2,10,22.7,2.272,25.1,0.1,0.0182,43.57
0.56,227.0,10,22.7,2.27,25.0,0.0,0.0189,43.57
0.58,226.9,10,22.7,2.269,25.3,0.3,0.0197,43.57
0.60,227.3,10,22.7,2.273,25.2,0.2,0.0204,43.57
0.62,227.0,10,22.7,2.27,25.1,0.1,0.0212,43.57
0.64,226.7,10,22.7,2.267,25.1,0.1,0.0220,43.57
0.66,227.0,10,22.7,2.27,25.1,0.1,0.0227,43.57
0.68,227.3,10,22.7,2.273,25.1,0.1,0.0235,43.57
0.70,227.4,10,22.7,2.274,25.3,0.3,0.0242,43.57
0.72,227.1,10,22.7,2.271,25.1,0.1,0.0250,43.57
0.74,227.2,10,22.7,2.272,25.3,0.3,0.0257,43.58
0.76,227.3,10,22.7,2.273,25.1,0.1,0.0265,43.58
0.78,227.2,10,22.7,2.272,25.1,0.1,0.0273,43.58
0.80,227.1,10,22.7,2.271,25.1,0.1,0.0280,43.58
0.82,226.8,10,22.7,2.268,25.2,0.2,0.0288,43.58
0.84,226.5,10,22.6,2.265,25.1,0.1,0.0295,43.58
0.86,226.6,10,22.7,2.266,25.3,0.3,0.0303,43.58
0.88,226.5,10,22.6,2.265,25.3,0.3,0.0310,43.58
0.90,226.8,10,22.7,2.268,25.2,0.2,0.0318,43.58
0.92,227.0,10,22.7,2.27,25.2,0.2,0.0325,43.58
0.94,226.6,10,22.7,2.266,25.4,0.4,0.0333,43.58
0.96,227.2,10,22.7,2.272,25.1,0.1,0.0341,43.58
0.98,226.8,10,22.7,2.268,25.4,0.4,0.0348,43.58
1.00,226.5,10,22.6,2.265,25.2,0.2,0.0356,43.59
1.02,226.7,10,22.7,2.267,25.3,0.3,0.0363,43.59
1.04,227.1,10,22.7,2.271,25.3,0.3,0.0371,43.59
1.06,226.9,10,22.7,2.269,25.3,0.3,0.0378,43.59
1.08,226.5,10,22.6,2.265,25.2,0.2,0.0386,43.59
1.10,226.5,10,22.6,2.265,25.4,0.4,0.0393,43.59
1.12,226.6,10,22.7,2.266,25.2,0.2,0.0401,43.59
1.14,226.4,10,22.6,2.264,25.2,0.2,0.0409,43.59
1.16,226.9,10,22.7,2.269,25.3,0.3,0.0416,43.59
1.18,226.6,10,22.7,2.266,25.2,0.2,0.0424,43.59
1.20,226.7,10,22.7,2.267,25.4,0.4,0.0431,43.59
1.22,226.8,10,22.7,2.268,25.2,0.2,0.0439,43.59
1.24,226.7,10,22.7,2.267,25.2,0.2,0.0446,43.59
1.26,227.0,10,22.7,2.27,25.3,0.3,0.0454,43.60
1.28,226.7,10,22.7,2.267,25.4,0.4,0.0462,43.60
1.30,226.5,10,22.6,2.265,25.4,0.4,0.0469,43.60
1.32,226.8,10,22.7,2.268,25.2,0.2,0.0477,43.60
1.34,226.4,10,22.6,2.264,25.2,0.2,0.0484,43.60
1.36,226.7,10,22.7,2.267,25.3,0.3,0.0492,43.60
1.38,226.8,10,22.7,2.268,25.5,0.5,0.0499,43.60
1.40,226.5,10,22.6,2.265,25.4,0.4,0.0507,43.60
1.42,227.1,10,22.7,2.271,25.2,0.2,0.0514,43.60
1.44,226.8,10,22.7,2.268,25.4,0.4,0.0522,43.60
1.46,226.7,10,22.7,2.267,25.4,0.4,0.0530,43.60
1.48,226.8,10,22.7,2.268,25.5,0.5,0.0537,43.60
1.50,226.9,10,22.7,2.269,25.5,0.5,0.0545,43.60
1.52,226.4,10,22.6,2.264,25.5,0.5,0.0552,43.61
1.54,226.7,10,22.7,2.267,25.5,0.5,0.0560,43.61
1.56,226.9,10,22.7,2.269,25.5,0.5,0.0567,43.61
1.58,227.0,10,22.7,2.27,25.3,0.3,0.0575,43.61
1.60,227.0,10,22.7,2.27,25.4,0.4,0.0582,43.61
1.62,226.6,10,22.7,2.266,25.3,0.3,0.0590,43.61
1.64,226.7,10,22.7,2.267,25.3,0.3,0.0598,43.61
1.66,226.9,10,22.7,2.269,25.5,0.5,0.0605,43.61
1.68,226.9,10,22.7,2.269,25.4,0.4,0.0613,43.61
1.70,226.5,10,22.6,2.265,25.5,0.5,0.0620,43.61
1.72,227.0,10,22.7,2.27,25.3,0.3,0.0628,43.61
1.74,226.9,10,22.7,2.269,25.5,0.5,0.0635,43.61
1.76,226.7,10,22.7,2.267,25.5,0.5,0.0643,43.61
1.78,227.2,10,22.7,2.272,25.6,0.6,0.0650,43.62
1.80,227.1,10,22.7,2.271,25.4,0.4,0.0658,43.62
